time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:cleanerBackLog,Cleaning:fileDeletionBacklog,Cleaning:lastKnownUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nToBeCleanedLNsProcessed,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:cursorDelete,Op:cursorGetCurrent,Op:cursorGetFirst,Op:cursorGetLast,Op:cursorGetNext,Op:cursorGetNextDup,Op:cursorGetNextNoDup,Op:cursorGetPrev,Op:cursorGetPrevDup,Op:cursorGetPrevNoDup,Op:cursorPut,Op:cursorPutCurrent,Op:cursorPutNoDupData,Op:cursorPutNoOverwrite,Op:dbDelete,Op:dbGet,Op:dbGetSearchBoth,Op:dbPut,Op:dbPutNoDupData,Op:dbPutNoOverWrite,Op:dbRemoveSequence,Op:dosCursorGetNext,Op:nBinDeltaDeleteOps,Op:nBinDeltaGetOps,Op:nBinDeltaInsertOps,Op:nBinDeltaUpdateOps,Op:secondaryCursorDelete,Op:secondaryCursorGetCurrent,Op:secondaryCursorGetFirst,Op:secondaryCursorGetLast,Op:secondaryCursorGetNext,Op:secondaryCursorGetNextDup,Op:secondaryCursorGetNextNoDup,Op:secondaryCursorGetPrev,Op:secondaryCursorGetPrevDup,Op:secondaryCursorGetPrevNoDup,Op:secondaryDbDelete,Op:secondaryDbGet,Op:secondaryDbGetSearchBoth
2019-04-01 18:15:16.577 UTC, ,125,3157213,696,11360, , ,3, , , , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,947,1,370,370,1, ,2,4, , ,47, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1554142515665,3145728, , , , ,2,3,2,2,2, , ,3,3, , , , , , , ,38,1, , ,2048,1,955,2, , , , , , , , ,32302368,2, , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-04-01 18:16:16.583 UTC, ,125,3158493,824,12528,112, ,3, ,3, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,947,1,370,370, , , , , , ,47, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1554142515665,3145728, , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , ,1,26,21365032,2, , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-04-01 18:17:16.587 UTC, ,125,3158493,824,12528,112, ,3, , , , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,947,1,370,370, , , , , , ,47, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1554142515665,3145728, , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,22088024,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-04-01 18:18:16.593 UTC, ,125,3158493,824,12528,112, ,3, , , , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,947,1,370,370, , , , , , ,47, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1554142515665,3145728, , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,22449496,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-04-01 18:19:16.601 UTC, ,125,3158493,824,12528,112, ,3, , , , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,947,1,370,370, , , , , , ,47, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1554142515665,3145728, , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,23513320,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-04-01 18:20:16.608 UTC, ,125,3158493,824,12528,112, ,3, , , , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,947,1,370,370, , , , , , ,47, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1554142515665,3145728, , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,24577136,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-04-01 18:21:16.612 UTC, ,125,3158493,824,12528,112, ,3, , , , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,947,1,370,370, , , , , , ,47, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1554142515665,3145728, , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,25018896,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-04-01 18:22:16.618 UTC, ,125,3158493,824,12528,112, ,3, , , , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,947,1,370,370, , , , , , ,47, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1554142515665,3145728, , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,26162688,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-04-01 18:23:16.622 UTC, ,125,3158493,824,12528,112, ,3, , , , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,947,1,370,370, , , , , , ,47, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1554142515665,3145728, , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,26885720,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-04-01 18:23:24.142 UTC, ,125,3158381,824,12528, , ,3, , , , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,947,1,370,370, , , , , , ,47, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1554142515665,3145728, , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,27037248,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
